district,nwp_rainfall,nwp_rain_log1p,nwp_is_rain,nwp_is_heavy,u850,v850,wind_speed_850,wind_dir_850,u200,v200,wind_speed_200,vertical_wind_shear,mslp,tcwv,rh700,cape,convective_index,orographic_flux_idx,offshore_trough_idx,vorticity_proxy,monsoon_trough_lat,latitude,longitude,moisture_flux_index,prob_active_monsoon,prob_break_monsoon,prob_monsoon_low_depression,prob_coastal_rainfall,prob_orographic_rainfall,prob_western_disturbance,observed_rainfall
Chitradurga,18.42,2.9663,1,0,-1.08,1.11,1.55,134.22,48.83,-22.55,53.79,55.23,1005.31,38.79,77.96,1303.9,18.63,8.79,3.43,0.02,27.32,14.2251,76.398,2.0,0.00875,0.016558,0.60628,0.038372,0.194538,0.135502,16.53
Hassan,10.54,2.4458,1,0,-0.65,-11.04,11.06,266.63,-29.43,-3.69,29.66,29.7,1011.21,59.56,95.92,1024.13,14.63,2.54,9.36,3.5,25.87,13.0072,76.1029,21.96,0.053548,0.288747,0.002769,0.136789,0.415072,0.103075,2.58
Mandya,21.71,3.1228,1,0,7.78,8.7,11.67,48.2,4.06,-4.09,5.76,13.32,996.29,62.51,46.15,416.85,5.96,12.15,-2.37,9.53,20.13,12.5218,76.8951,24.32,0.308551,0.005996,0.060625,0.033663,0.14662,0.444545,14.12
Kolar,31.51,3.4815,1,0,-12.38,5.67,13.62,155.39,31.54,-40.45,51.29,63.69,1007.24,41.03,96.23,2635.51,37.65,6.42,5.35,7.6,24.54,13.1367,78.1291,18.63,0.044836,0.160604,0.033392,0.12602,0.094306,0.540843,33.29
Udupi,23.62,3.2036,1,0,-11.89,-7.4,14.0,211.9,15.94,-0.81,15.96,28.6,995.94,47.6,81.27,1086.38,15.52,7.12,-1.99,-11.88,29.82,13.3409,74.7421,22.21,0.42682,0.195708,0.055135,0.074632,0.11619,0.131514,23.3
Raichur,70.92,4.2756,1,1,-3.62,-3.14,4.79,220.94,27.42,-3.46,27.64,31.04,997.66,27.52,44.07,512.46,7.32,7.68,3.04,-20.43,29.25,16.2076,77.3463,4.39,0.278034,0.120466,0.108371,0.017827,0.287667,0.187634,69.86
Davanagere,39.63,3.7045,1,0,2.44,-8.59,8.93,285.86,7.92,10.44,13.1,19.8,988.12,64.6,58.06,1752.47,25.04,20.08,-3.55,7.47,18.52,14.4644,75.9218,19.23,0.020332,0.357057,0.227579,0.024741,0.177897,0.192394,22.39
Bidar,9.28,2.3302,1,0,8.73,1.37,8.84,8.92,21.73,27.73,35.23,29.39,993.92,30.43,82.49,909.47,12.99,13.48,1.76,-10.94,19.98,17.9104,77.5199,8.97,0.025006,0.401921,0.261715,0.152549,0.0856,0.073209,14.32
Bagalkot,7.0,2.0794,1,0,22.7,11.55,25.47,26.97,16.89,16.9,23.89,7.9,988.78,62.42,44.04,1609.42,22.99,7.78,6.34,-1.8,19.58,16.1853,75.6968,52.99,0.215674,0.161541,0.013174,0.147211,0.336434,0.125965,0.0
Chikkaballapur,35.38,3.594,1,0,15.29,-7.86,17.19,332.79,43.36,-4.03,43.55,28.33,993.29,49.23,74.93,1120.17,16.0,15.26,0.21,-9.36,26.71,13.4355,77.7315,28.21,0.019752,0.571236,0.083238,0.110778,0.066624,0.148373,31.19
Mumbai City,18.83,2.9872,1,0,3.08,7.04,7.68,66.37,25.09,-16.6,30.08,32.3,1017.64,47.35,60.75,3185.15,45.5,17.9,4.97,-14.42,27.81,18.922,72.8347,12.12,0.16363,0.084808,0.026537,0.243343,0.245014,0.236668,19.17
Pune,42.41,3.7707,1,0,4.77,-3.3,5.8,325.32,26.75,38.6,46.96,47.32,993.61,43.07,77.25,329.07,4.7,6.82,6.93,4.33,20.56,18.5204,73.8567,8.33,0.041059,0.090302,0.631868,0.222479,0.004145,0.010147,64.44
Nagpur,35.12,3.5868,1,0,-7.03,-5.93,9.2,220.15,11.76,0.89,11.79,19.99,1036.59,30.38,42.74,536.24,7.66,10.34,8.91,6.07,24.07,21.1458,79.0882,9.32,0.110038,0.423448,0.13655,0.121561,0.019671,0.188732,22.91
Nashik,21.8,3.1268,1,0,4.78,0.93,4.87,11.01,10.25,0.21,10.25,5.52,1010.92,27.94,92.29,4586.36,65.52,3.05,-1.48,-4.61,28.09,19.9975,73.7898,4.54,0.215657,0.059794,0.186657,0.416883,0.028461,0.092547,0.0
Aurangabad,9.4,2.3418,1,0,1.54,-8.35,8.49,280.45,11.35,-0.36,11.36,12.65,1007.22,29.92,98.41,772.5,11.04,4.53,0.99,-20.73,26.79,19.8762,75.3433,8.47,0.057518,0.267539,0.14645,0.171079,0.271742,0.085671,10.22
Kolhapur,3.52,1.5085,1,0,8.87,-3.54,9.55,338.24,27.89,2.97,28.05,20.1,994.7,28.39,98.13,296.74,4.24,17.03,-2.71,-4.37,24.51,16.705,74.2433,9.04,0.376676,0.116308,0.026259,0.181818,0.24076,0.058179,17.95
Solapur,28.27,3.3766,1,0,-4.93,-9.98,11.13,243.71,11.58,-2.17,11.78,18.26,1013.4,55.08,84.98,1253.22,17.9,4.54,9.89,3.13,25.08,17.6599,75.9064,20.43,0.21341,0.259446,0.035552,0.450217,0.016629,0.024746,36.25
Satara,5.44,1.8625,1,0,11.23,21.65,24.39,62.58,25.8,-8.6,27.2,33.58,998.09,35.76,47.81,1754.63,25.07,13.13,8.91,-11.83,24.1,17.6805,73.9934,29.07,0.039077,0.430696,0.203843,0.031665,0.111386,0.183332,6.91
Sangli,8.97,2.2996,1,0,23.39,2.35,23.51,5.74,61.51,-8.2,62.05,39.55,1006.46,22.6,85.5,763.88,10.91,17.73,3.1,1.47,21.57,16.8524,74.5815,17.71,0.010235,0.251393,0.191148,0.082633,0.40107,0.06352,4.49
Ratnagiri,26.81,3.3254,1,0,3.69,-5.0,6.21,306.43,37.42,-0.49,37.42,34.03,1035.72,63.61,41.48,116.25,1.66,2.67,7.63,-0.12,24.78,16.9902,73.312,13.17,0.453824,0.120781,0.110326,0.019882,0.234079,0.061107,36.06
Ahmedabad,24.61,3.243,1,0,9.82,4.14,10.66,22.86,13.48,-8.15,15.75,12.82,1003.85,59.77,41.33,376.32,5.38,14.18,2.81,4.63,26.27,23.0225,72.5714,21.24,0.033782,0.002421,0.156572,0.143038,0.242496,0.421691,15.01
Surat,6.33,1.992,1,0,13.28,0.88,13.31,3.79,44.02,-10.69,45.3,32.85,1018.79,61.75,59.42,177.08,2.53,6.41,4.35,0.96,28.48,21.1702,72.8311,27.4,0.013684,0.217474,0.034324,0.323042,0.282758,0.128718,9.07
Vadodara,55.42,4.0328,1,0,0.19,-0.21,0.28,312.14,11.84,1.6,11.95,11.79,996.56,64.77,69.32,2908.33,41.55,24.07,-3.66,-7.78,25.64,22.3072,73.1812,0.6,0.24603,0.074956,0.126536,0.342404,0.122115,0.087958,60.11
Rajkot,54.3,4.0128,1,0,7.69,8.14,11.2,46.63,-20.76,-3.82,21.11,30.86,1004.58,27.83,86.22,161.23,2.3,12.09,6.33,9.57,27.13,22.3039,70.8022,10.39,0.11293,0.291871,0.067642,0.031623,0.206239,0.289695,57.56
Bhavnagar,36.32,3.6195,1,0,5.15,9.58,10.88,61.74,-0.16,22.56,22.56,14.02,1026.25,37.83,81.0,515.59,7.37,20.15,-3.08,-1.27,19.92,21.7645,72.1519,13.72,0.036064,0.093253,0.05206,0.145392,0.203482,0.469749,53.11
Jamnagar,36.29,3.6187,1,0,6.17,-3.31,7.0,331.79,-17.42,-39.76,43.41,43.42,997.48,54.12,66.75,1226.79,17.53,13.76,7.39,-0.22,23.54,22.4707,70.0577,12.63,0.119606,0.110171,0.049342,0.209167,0.072382,0.439333,35.6
Junagadh,36.32,3.6195,1,0,-4.28,-3.76,5.7,221.3,12.97,16.37,20.89,26.51,1026.75,51.32,56.42,257.74,3.68,1.09,6.73,-7.47,18.11,21.5222,70.4579,9.75,0.258298,0.034673,0.28965,0.101005,0.29783,0.018543,37.04
Gandhinagar,50.61,3.9437,1,0,5.29,-0.75,5.34,351.93,20.37,18.69,27.65,24.6,1013.49,26.93,99.83,1120.39,16.01,15.83,5.63,-3.55,20.96,23.2156,72.6369,4.79,0.034589,0.348379,0.046371,0.326452,0.058929,0.185279,42.8
Anand,40.42,3.7238,1,0,10.98,-21.02,23.71,297.58,53.53,-31.1,61.91,43.73,998.25,56.71,65.57,464.49,6.64,23.79,-4.46,-7.08,26.72,22.5645,72.9289,44.82,0.408097,0.247609,0.125492,0.082358,0.011627,0.124816,29.98
Valsad,10.3,2.4248,1,0,22.41,-13.15,25.98,329.6,26.54,-5.14,27.03,9.01,1012.59,30.1,67.08,1060.31,15.15,15.04,-0.45,-1.38,29.9,20.5992,72.9342,26.07,0.105958,0.278735,0.205085,0.145365,0.155428,0.109429,4.71
Jaipur,18.58,2.9745,1,0,16.51,15.67,22.76,43.5,15.62,-5.57,16.58,21.26,1016.67,30.07,49.82,658.98,9.41,20.48,-1.05,13.69,19.19,26.9124,75.7873,22.81,0.056653,0.446705,0.208744,0.154457,0.022107,0.111335,14.83
Jodhpur,117.56,4.7754,1,1,30.84,18.45,35.94,30.89,36.59,-21.11,42.24,39.98,1012.46,44.16,87.69,736.2,10.52,22.11,0.4,-10.98,22.82,26.2389,73.0243,52.9,0.079421,0.257409,0.101855,0.061632,0.484576,0.015108,102.91
Udaipur,1.78,1.0225,0,0,-4.21,-0.49,4.24,186.64,-24.22,-11.67,26.88,22.92,986.16,46.68,81.62,1724.43,24.63,5.7,-3.69,-12.91,27.6,24.5854,73.7125,6.6,0.081672,0.006385,0.200294,0.372116,0.048866,0.290667,2.97
Kota,14.55,2.7441,1,0,15.47,7.77,17.31,26.67,24.71,-16.66,29.8,26.12,996.27,46.1,53.25,287.84,4.11,5.3,9.05,11.77,20.45,25.2138,75.8648,26.6,0.037944,0.265303,0.15395,0.179421,0.001995,0.361386,6.9
Ajmer,55.65,4.0369,1,0,7.2,5.11,8.83,35.36,35.42,26.28,44.1,35.28,1002.03,24.12,44.94,1056.84,15.1,15.27,3.31,-1.67,24.66,26.4499,74.6399,7.1,0.218339,0.061186,0.297678,0.055654,0.347038,0.020105,71.16
Bikaner,11.04,2.4882,1,0,31.28,32.79,45.32,46.35,-9.57,14.04,16.99,44.95,1004.11,59.49,80.83,1470.61,21.01,10.28,-0.42,-5.35,26.8,28.0229,73.3119,89.87,0.403044,0.257814,0.033639,0.091764,0.004136,0.209604,11.32
Alwar,41.31,3.745,1,0,-4.7,13.2,14.01,109.6,42.88,19.07,46.93,47.94,1012.45,31.95,79.27,260.12,3.72,21.0,0.95,8.32,25.39,27.553,76.6346,14.92,0.105787,0.269183,0.104091,0.105219,0.401161,0.01456,38.17
Bharatpur,24.33,3.232,1,0,-5.08,0.72,5.13,171.93,26.77,10.83,28.88,33.42,1007.13,25.83,56.4,178.45,2.55,22.5,1.71,-4.84,20.26,27.2152,77.503,4.42,0.268684,0.220334,0.126974,0.103637,0.256755,0.023616,22.27
Sikar,11.9,2.5572,1,0,-2.19,-7.56,7.87,253.84,11.69,-16.94,20.58,16.75,988.98,59.99,97.05,669.58,9.57,8.84,4.01,14.61,22.26,27.6094,75.1399,15.74,0.009985,0.033235,0.192118,0.004283,0.106117,0.654262,12.42
Chittorgarh,27.6,3.3534,1,0,-20.49,-14.06,24.85,214.46,32.66,-7.87,33.59,53.51,1009.56,63.0,49.06,1008.4,14.41,5.92,2.74,5.42,27.41,24.8887,74.6269,52.19,0.348518,0.132683,0.011838,0.320475,0.164505,0.021981,33.72
Lucknow,10.06,2.4033,1,0,-1.31,4.03,4.24,108.01,65.41,7.34,65.82,66.8,1012.33,58.8,65.94,1326.32,18.95,19.51,8.79,-3.9,24.65,26.8467,80.9462,8.31,0.011823,0.288355,0.132702,0.212058,0.253326,0.101736,2.1
Kanpur Nagar,20.94,3.0883,1,0,-4.11,-5.56,6.91,233.53,23.64,-18.33,29.91,30.55,1011.72,56.43,96.62,219.06,3.13,6.87,2.45,17.26,18.06,26.4499,80.3319,13.0,0.156677,0.121028,0.081962,0.122608,0.319668,0.198057,14.33
Varanasi,36.03,3.6117,1,0,6.8,-12.22,13.98,299.09,24.96,10.69,27.15,29.23,1017.97,49.49,65.18,1508.43,21.55,20.57,9.88,-4.85,27.13,25.3176,82.9739,23.06,0.325292,0.085443,0.136239,0.145517,0.130635,0.176873,35.69
Prayagraj,47.48,3.8812,1,0,9.1,-4.47,10.14,333.84,10.81,-3.6,11.39,1.92,1015.01,44.79,78.31,1897.75,27.11,10.59,7.77,5.94,18.42,25.4358,81.8463,15.14,0.081902,0.216999,0.033256,0.146644,0.202071,0.319128,30.27
Agra,14.5,2.7408,1,0,27.51,-8.82,28.89,342.22,3.0,-5.62,6.37,24.72,1010.51,23.91,63.86,1090.03,15.57,16.69,-1.87,2.39,26.95,27.1767,78.0081,23.03,0.425231,0.129832,0.192501,0.099824,0.142206,0.010406,10.08
Meerut,11.87,2.5549,1,0,16.41,18.87,25.01,48.99,36.61,10.66,38.13,21.8,1004.16,38.38,56.45,1984.21,28.35,2.39,8.96,10.41,20.43,28.9845,77.7064,32.0,0.154178,0.235918,0.335921,0.02454,0.079228,0.170215,9.39
Bareilly,5.32,1.8437,1,0,-1.92,10.82,10.99,100.06,2.88,6.66,7.26,6.35,985.07,36.77,99.04,639.64,9.14,15.6,-3.25,12.49,29.5,28.367,79.4304,13.47,0.582422,0.065867,0.107657,0.035721,0.15442,0.053914,13.2
Gorakhpur,49.31,3.9182,1,0,-5.78,1.92,6.09,161.62,21.43,-5.41,22.1,28.18,1010.16,31.69,64.56,525.89,7.51,11.29,7.26,0.26,22.42,26.7606,83.3732,6.43,0.184553,0.578396,0.004393,0.006122,0.196764,0.029771,46.25
Jhansi,105.76,4.6706,1,1,10.9,16.8,20.03,57.02,10.45,17.39,20.29,0.74,1007.49,52.55,93.65,751.65,10.74,14.67,0.71,-6.03,21.92,25.4484,78.5685,35.09,0.028119,0.10178,0.399075,0.208766,0.176806,0.085454,117.19
Moradabad,53.5,3.9982,1,0,-10.84,2.77,11.19,165.67,29.58,-16.22,33.74,44.66,1008.26,42.31,53.8,327.89,4.68,4.2,8.17,3.68,19.79,28.8386,78.7733,15.78,0.560955,0.1057,0.01904,0.20057,0.025253,0.088482,65.33
Patna,62.8,4.1558,1,0,26.98,-6.61,27.78,346.23,26.67,9.24,28.23,15.85,989.68,23.65,52.79,508.13,7.26,18.42,8.02,-5.42,21.67,25.5941,85.1376,21.9,0.072623,0.212636,0.069776,0.124257,0.506249,0.014459,54.49
Gaya,11.14,2.4965,1,0,19.15,17.23,25.76,41.98,40.75,8.9,41.71,23.15,992.03,29.91,41.87,839.35,11.99,21.57,7.09,16.11,28.52,24.7914,85.0002,25.68,0.058045,0.090682,0.099005,0.095658,0.430391,0.226219,13.13
Muzaffarpur,34.29,3.5636,1,0,-0.63,7.39,7.42,94.87,9.8,-4.64,10.84,15.92,1017.64,50.75,79.1,926.55,13.24,5.42,6.85,1.09,29.96,26.1209,85.3647,12.55,0.118995,0.047046,0.220652,0.394312,0.218796,0.000199,33.94
Bhagalpur,44.39,3.8153,1,0,-15.56,-8.37,17.67,208.28,14.6,4.89,15.4,32.95,1004.53,23.43,62.11,1160.9,16.58,2.39,-0.43,-2.92,22.42,25.2425,86.9842,13.8,0.288275,0.014956,0.084877,0.017487,0.263805,0.3306,46.67
Darbhanga,7.46,2.1353,1,0,21.25,0.1,21.25,0.27,0.42,-18.77,18.77,28.11,1013.18,58.3,91.86,79.82,1.14,0.59,-3.79,1.48,23.38,26.1542,85.8918,41.3,0.051795,0.20628,0.259525,0.196178,0.054951,0.231271,2.85
Ranchi,1.32,0.8416,0,0,3.63,-6.76,7.67,298.24,11.11,13.86,17.76,21.93,1005.34,42.28,68.39,4531.73,64.74,16.05,1.04,-10.78,26.66,23.3441,85.3096,10.81,0.234441,0.012414,0.014086,0.073845,0.479088,0.186126,0.0
Dhanbad,5.01,1.7934,1,0,19.85,-11.83,23.11,329.21,27.55,-2.77,27.69,11.89,1005.36,41.63,98.09,362.49,5.18,15.18,-2.4,-7.77,28.63,23.7957,86.4304,32.07,0.190761,0.075494,0.151322,0.001711,0.169855,0.410857,3.94
Jamshedpur,20.67,3.0759,1,0,-14.13,11.26,18.07,141.45,35.14,-7.84,36.0,52.84,1016.26,46.66,51.13,1322.22,18.89,13.67,5.42,9.6,25.12,22.8046,86.2029,28.1,0.138849,0.302975,0.188493,0.018812,0.340804,0.010068,32.08
Bokaro,14.65,2.7505,1,0,-2.19,21.09,21.2,95.93,1.56,15.74,15.82,6.53,998.81,57.11,92.12,1024.91,14.64,5.8,0.19,-5.26,22.7,23.6693,86.1511,40.36,0.306383,0.061522,0.004725,0.220002,0.140296,0.26707,21.42
Hazaribagh,33.22,3.5328,1,0,5.06,-11.99,13.01,292.88,37.39,-10.57,38.86,32.36,1006.15,35.65,86.6,479.92,6.86,9.77,9.63,-8.38,22.95,23.9925,85.3637,15.46,0.240373,0.012488,0.036649,0.228378,0.117366,0.364746,39.14
Bhopal,49.02,3.9124,1,0,5.56,7.63,9.44,53.92,47.11,-21.13,51.63,50.53,999.45,50.51,86.26,1238.82,17.7,14.86,4.61,4.29,26.35,23.2599,77.4126,15.89,0.173018,0.305983,0.193141,0.092045,0.183058,0.052756,59.97
Indore,19.23,3.0072,1,0,-0.4,-4.51,4.53,264.93,28.27,-23.35,36.67,34.31,999.79,45.46,90.69,370.44,5.29,12.42,7.34,9.49,18.04,22.7196,75.8577,6.86,0.04694,0.199683,0.075897,0.205529,0.221825,0.250126,17.57
Jabalpur,24.67,3.2453,1,0,12.47,-2.87,12.8,347.04,57.54,9.09,58.25,46.63,1001.29,32.02,85.66,813.55,11.62,24.69,-3.01,5.75,25.44,23.1815,79.9864,13.66,0.436802,0.099129,0.06751,0.153437,0.081557,0.161565,27.87
Gwalior,1.66,0.9783,0,0,-7.81,-3.92,8.74,206.65,4.52,-19.21,19.73,19.64,1007.67,59.54,77.57,2910.81,41.58,3.41,7.93,7.97,22.27,26.2183,78.1828,17.35,0.325416,0.310322,0.124892,0.048583,0.149844,0.040943,0.0
Ujjain,63.37,4.1646,1,0,3.29,-6.64,7.41,296.36,-4.89,26.32,26.77,33.96,999.26,55.88,47.87,575.85,8.23,17.38,8.84,-6.05,27.53,23.1765,75.7885,13.8,0.45275,0.087029,0.034401,0.005285,0.212818,0.207718,64.04
Chennai,41.54,3.7504,1,0,6.44,2.49,6.9,21.14,-15.57,-31.23,34.9,40.27,1020.07,49.63,41.95,877.67,12.54,10.11,2.31,-11.37,19.12,13.0827,80.2707,11.41,0.120635,0.021557,0.152666,0.108004,0.327485,0.269654,45.1
Coimbatore,24.9,3.2542,1,0,11.17,-6.31,12.83,330.54,49.92,25.45,56.03,50.1,994.26,58.28,95.25,313.65,4.48,10.7,4.09,12.01,25.06,11.0168,76.9558,24.92,0.064349,0.034873,0.628017,0.085868,0.1654,0.021493,41.3
Madurai,14.32,2.7292,1,0,13.54,4.7,14.33,19.14,33.09,3.17,33.24,19.61,1002.76,59.03,77.0,1343.53,19.19,17.94,6.47,-2.58,23.77,9.9252,78.1198,28.2,0.12671,0.005323,0.134217,0.633749,0.09242,0.007582,12.59
Tiruchirappalli,28.11,3.3711,1,0,-8.5,1.5,8.63,169.99,18.89,-1.45,18.95,27.55,999.72,51.88,87.79,427.89,6.11,17.31,-2.38,-2.01,25.71,10.7905,78.7047,14.92,0.011454,0.178847,0.063519,0.008607,0.514124,0.22345,20.3
Salem,12.31,2.5885,1,0,-13.41,-0.39,13.42,181.67,25.6,-8.17,26.87,39.78,1022.36,57.67,68.89,1039.85,14.85,24.78,2.54,10.63,18.78,11.6643,78.146,25.8,0.040359,0.272281,0.014593,0.36901,0.044544,0.259213,10.23
Hyderabad,16.47,2.8605,1,0,20.33,-7.08,21.53,340.8,-2.51,5.99,6.49,26.32,1007.36,51.39,47.04,1665.1,23.79,3.21,0.98,4.45,24.96,17.385,78.4867,36.88,0.084789,0.160896,0.379664,0.031233,0.298121,0.045296,23.06
Warangal,32.06,3.4983,1,0,8.99,-3.77,9.75,337.25,68.92,-0.56,68.92,60.02,1017.38,50.61,47.51,680.81,9.73,2.6,-2.8,3.65,24.74,17.9689,79.5941,16.45,0.141679,0.121062,0.226817,0.048706,0.23473,0.227006,21.46
Nizamabad,38.28,3.6707,1,0,-3.98,9.55,10.35,112.62,22.58,16.55,28.0,27.47,987.17,47.84,81.13,1253.32,17.9,18.11,0.51,17.32,24.73,18.6725,78.0941,16.5,0.306246,0.38277,0.123902,0.076827,0.064065,0.04619,21.44
Karimnagar,37.4,3.6481,1,0,23.61,7.01,24.63,16.54,22.19,1.71,22.26,5.49,1008.2,53.87,65.82,1084.55,15.49,14.46,-3.98,-5.15,25.24,18.4386,79.1288,44.23,0.010935,0.077209,0.058022,0.625023,0.150243,0.078567,27.24
Khammam,11.11,2.494,1,0,6.39,-7.78,10.07,309.4,34.52,2.25,34.59,29.86,1015.68,27.14,52.03,1708.25,24.4,6.85,-4.61,7.42,26.12,17.2473,80.1514,9.11,0.230116,0.039709,0.155527,0.260718,0.177813,0.136116,1.61
Kochi,2.1,1.1314,0,0,19.15,2.99,19.38,8.87,29.62,-5.45,30.12,13.45,1005.99,59.64,69.5,1258.03,17.97,1.99,-2.97,0.46,27.66,9.9312,76.2673,38.53,0.497797,0.207574,0.09549,0.082381,0.094779,0.021979,0.0
Thiruvananthapuram,5.65,1.8946,1,0,5.81,9.51,11.14,58.58,24.48,-0.85,24.49,21.35,1017.79,59.23,43.85,1973.89,28.2,2.14,9.45,2.15,21.24,8.5241,76.9366,21.99,0.090505,0.007247,0.116183,0.140976,0.046525,0.598564,4.05
Kozhikode,75.52,4.3376,1,1,29.73,-14.69,33.16,333.71,4.19,4.62,6.24,32.02,998.79,21.32,74.92,675.73,9.65,22.35,3.24,12.23,27.9,11.2588,75.7804,23.57,0.293349,0.156408,0.093095,0.249147,0.0171,0.190901,72.79
Thrissur,15.07,2.777,1,0,26.06,7.43,27.1,15.91,29.43,-25.65,39.04,33.25,1021.91,57.16,56.14,250.65,3.58,4.8,9.49,4.06,23.98,10.5276,76.2144,51.63,0.018576,0.22026,0.044952,0.292069,0.401697,0.022446,24.29
Kollam,23.6,3.2027,1,0,2.01,-4.63,5.05,293.47,57.64,-20.22,61.08,57.77,1032.59,25.8,87.85,158.91,2.27,8.08,1.49,4.31,18.92,8.8932,76.6141,4.34,0.072268,0.461035,0.076846,0.231734,0.103374,0.054744,23.62
Bhubaneswar,49.77,3.9273,1,0,16.66,7.71,18.36,24.83,46.91,11.15,48.22,30.44,1000.65,35.08,58.62,179.18,2.56,5.67,-0.32,8.58,18.7,20.2961,85.8245,21.47,0.086725,0.058538,0.369666,0.125909,0.184482,0.17468,57.26
Cuttack,18.54,2.9725,1,0,12.74,-5.63,13.93,336.16,51.86,2.56,51.92,39.97,999.65,53.46,67.31,652.36,9.32,8.87,2.59,-2.92,22.01,20.4625,85.8828,24.82,0.081657,0.190311,0.374567,0.04965,0.166669,0.137146,25.43
Rourkela,47.07,3.8727,1,0,21.42,-16.05,26.77,323.16,9.78,-2.76,10.16,17.67,1022.44,27.23,40.7,947.74,13.54,1.74,1.59,-6.71,27.42,22.2604,84.8536,24.3,0.124985,0.45826,0.032813,0.01697,0.282158,0.084814,32.57
Sambalpur,17.95,2.9418,1,0,-6.58,-14.28,15.72,245.26,0.21,0.28,0.35,16.07,1023.95,56.81,44.35,458.18,6.55,12.98,-3.42,-8.36,26.49,21.4669,83.9812,29.77,0.245826,0.292795,0.008446,0.281505,0.077893,0.093535,24.99
Puri,12.44,2.5982,1,0,13.23,2.48,13.46,10.62,17.48,5.21,18.24,5.05,998.73,57.45,63.55,465.64,6.65,1.69,4.61,-15.73,27.46,19.8135,85.8312,25.78,0.146859,0.388939,0.002877,0.096587,0.173512,0.191226,10.28
Kolkata,93.82,4.552,1,1,17.7,4.6,18.29,14.57,21.11,-8.1,22.61,13.15,999.96,42.84,68.8,573.17,8.19,20.01,-1.76,16.45,24.21,22.5726,88.3639,26.12,0.288887,0.035364,0.087155,0.108826,0.399723,0.080045,99.7
Darjeeling,54.74,4.0207,1,0,-16.1,-7.04,17.57,203.62,41.88,-11.67,43.48,58.16,1001.62,20.29,76.0,820.53,11.72,5.84,4.29,-8.83,23.28,27.041,88.2663,11.88,0.019045,0.254109,0.000717,0.493309,0.090917,0.141903,35.77
